trial,sigma,gap,method,n_missing,rmse,mae,bias
7,0.05,8,nearest,24,0.31618146130785196,0.2556064233518616,0.1112844721880577
7,0.05,8,linear,24,0.22490247813597516,0.20120707107288358,0.11128447218805769
8,0.05,8,locf,24,0.6482986551203048,0.4736047043888516,-0.17037689251488009
8,0.05,8,nearest,24,0.4208533057794888,0.317302735705376,0.010648601564135713
8,0.05,8,linear,24,0.1997648949320978,0.17980009263414576,0.010648601564135704
9,0.05,8,locf,24,0.3265034023171224,0.2255432650671896,0.1621312873440108
9,0.05,8,nearest,24,0.25151406482905375,0.17179261660582998,-0.12847943338900736
9,0.05,8,linear,24,0.18999693318643657,0.14670459239353567,-0.12847943338900739
10,0.05,8,locf,24,0.4667513423460068,0.3450250776834978,-0.017273555788892347
10,0.05,8,nearest,24,0.2929863510237978,0.23164623920443642,0.06313958925043744
10,0.05,8,linear,24,0.1461576513188961,0.1288897448534283,0.06313958925043746
11,0.05,8,locf,24,0.5346177814440505,0.39459756204087487,-0.18770647448578767
11,0.05,8,nearest,24,0.3081236910768492,0.2004320860134047,-0.13266773537210194
11,0.05,8,linear,24,0.20209837341075235,0.1697422397555449,-0.13266773537210197
12,0.05,8,locf,24,0.5074905066390762,0.38360451966839815,0.06935662639378062
12,0.05,8,nearest,24,0.27305885225238713,0.23161166457595087,-0.051358773589834816
12,0.05,8,linear,24,0.1960280098054992,0.15827484154363536,-0.051358773589834816
13,0.05,8,locf,24,0.40295114012392075,0.3099886039543279,-0.23847892717773042
13,0.05,8,nearest,24,0.2387519380793091,0.18852130835828032,-0.18090812887700858
13,0.05,8,linear,24,0.21682761094937836,0.18155545881338528,-0.1809081288770086
14,0.05,8,locf,24,0.35302115197392686,0.253134041072619,0.17334017835051016
14,0.05,8,nearest,24,0.24860127088340594,0.20221975109884546,-0.08243076819067986
14,0.05,8,linear,24,0.18144435418066243,0.1340438382204967,-0.08243076819067986
15,0.05,8,locf,24,0.8465486662077777,0.7341015460047062,-0.12381942498131034
15,0.05,8,nearest,24,0.40618839858154726,0.3098466606771349,0.1099852253251684
15,0.05,8,linear,24,0.24662808561879207,0.1813699860417337,0.10998522532516836
16,0.05,8,locf,24,1.027725226148238,0.9006325001342189,-0.32811774632426305
16,0.05,8,nearest,24,0.4873307741133083,0.4048647304930763,-0.04536267669705487
16,0.05,8,linear,24,0.14370359830680135,0.1165685027432642,-0.045362676697054904
17,0.05,8,locf,24,0.655145604453087,0.5772223969672142,-0.17289908649055333
17,0.05,8,nearest,24,0.4090432736068045,0.32902973186100964,0.11270161886686704
17,0.05,8,linear,24,0.3106029095221785,0.28812303646267073,0.11270161886686704
18,0.05,8,locf,24,0.5662567801688433,0.43810117076371774,0.06313394002909646
18,0.05,8,nearest,24,0.3008859318574606,0.22619501831254563,0.06035078845342048
18,0.05,8,linear,24,0.21717147155223895,0.20002085014080948,0.06035078845342048
19,0.05,8,locf,24,0.34933438400599814,0.27378480677197936,0.04143090102976831
19,0.05,8,nearest,24,0.21314053389067011,0.17955236445578274,0.010036711381772596
19,0.05,8,linear,24,0.15293850580083146,0.1325936089158191,0.010036711381772598
20,0.05,8,locf,24,0.4597235759522472,0.3158321695438704,0.2551469334656045
20,0.05,8,nearest,24,0.2904324045502995,0.21794210422505525,0.06143041456704307
20,0.05,8,linear,24,0.17865038144723075,0.15003771949192668,0.06143041456704307
21,0.05,8,locf,24,0.6365233968251545,0.5559861591358596,-0.12339220417778467
21,0.05,8,nearest,24,0.41320851575884343,0.3146821421862563,0.007098802987222319
21,0.05,8,linear,24,0.3169645759404373,0.2878290368337982,0.00709880298722233
22,0.05,8,locf,24,0.3375712960671482,0.24176205786521107,0.16682515638412534
22,0.05,8,nearest,24,0.35665625242640825,0.2871005555408388,-0.07621740394755915
